AcctID,URL,Description,Likes,Comments
13740667640,CF-0-SMh0at,J Balvin Meal 🍟🍔🇨🇴-#jbalvin #balvin #latino #latinogang #mcdonalds #fastfood #reggaeton #colombia #medellin #jbalvinmcdonalds #mcdonaldsjbalvin #hype #hypebeaststyle #latinos #hypeperu #hypebeastperu #streetwearperu #sneakerperu #sneakerheadperu #followme #followforfollowback #followers #follow #follower #follow4followback,15,0
4774418072,CF-nbSqHBTd,Hola familia! So The @jbalvin meal is now available at @mcdonalds for a limited time. Of course I had to support my boy and culture by making my first mukbang trying out his fave McDonald’s meal. Link is in my bio if y’all want to check it out. Also don’t forget to Subscribe to my YouTube channel. Muchas Gracias 🤗💛💛💙❤️ #jbalvin #thejbalvinmeal #newmcdonalds #jbalvincollab #jbalvinmcdonalds #jbalvinmcdonaldsmeal #ilovejbalvin #colombia #colombiana🇨🇴 #bigmac #mediumfries #oreomcflurry #myfirstmukbang #mukbang #smalllifestyleyoutuber #foodie,54,2
323411915,CF-isiKAfWN,@jbalvin x @mcdonalds collab #jbalvinmcdonalds #mcdonaldsjbalvin #jbalvin #mcdonalds,11,0
7186001076,CF-h2RGJ67Y,"J Balvin Meal’  el delicioso y nuevo menú en McDonald's. 🍔🍟El cantante ya tiene su propio combo de hamburguesa y el primer latinoamericano en trabajar con la marca multinacional. El combo “J Balvin Meal” incluye  una Big Mac, papas fritas medianas y un Oreo McFlurry. La combinación sale a la venta del lunes al 1 de noviembre en Estados Unidos. @jbalvin #JbalvinMeal #jbalvinmcdonalds",61,1
3563178442,CF-gmrWHsv9,Los fans de @jbalvin pueden comer su comida colaborativa en McDonalds (Estados Unidos). ⚡️🌈🍟🍔 ¿Qué comida podría ser más feliz?・・・#FiestaPopLatina #jbalvin #mcdonalds #jbalvinmcdonalds #comida #happymeal #buenamusica,5,0
6213733922,CF-c-bcpHc_,Life skill projects will be having an exclusive interview with Prod.  @adanruiz__ Coming this Saturday October 10th to Life Skill Projects TV on our #youtubechannel at 3pm --Click the link in our bio and join the gang and subscribe 🔔📲 #duarsentertainment #laindustriainc #sagawhiteblack #gabymusic #richmusic #sonymusic #pinarecords #elcartelrecords #atlanticrecords #prod #lifeskillprojects #viral #explorepage✨ #music #entertainment #podcast #enchulechallenge #dondon #daddyankee #nickyjam #lunay #jbalvinmcdonalds #anuelaa dimelo @instaladora #enchulechallenge,25,1
32455197245,CF-basUBFvo,Time for @mcdonalds #jbalvin #jbalvinmcdonalds the youtube link is in the bio...#jbalvinmcdonaldsmeal #jbalvinburger #mukbang #foodreview #foodie #jbalvinmcdonaldsmealfoodreview #mukbang #Theelliottfamilyof7 @jbalvin,22,0
33068127961,CF-V5OMFzLi,"Después de tanta expectativa creada el mes pasado por la colaboración de celebridades en su menú, los Arcos Dorados traen las ""Vibras"" a sus clientes. McDonald's presentará la exclusiva orden de J Balvin, el superestrella y reconocido embajador global del reggaetón, en su menú de EE.UU. La Orden J Balvin incluye una hamburguesa Big Mac, Papas Mundialmente Famosas medianas con salsa de tomate y un OREO® McFlurry, disponible en restaurantes participantes del 5 de octubre al 1 de noviembre. Los clientes que elijan la Orden J Balvin a través de la sección de ofertas de la aplicación de McDonald's recibirán el OREO® McFlurry gratis.""J Balvin es un ícono internacional que ha encabezado listas de éxitos alrededor del mundo y ha sido nominado a codiciados premios"", afirmó Morgan Flatley, Directora Principal de Mercadeo de McDonald's U.S. ""Durante sus giras, siempre ha frecuentado restaurantes McDonald's, y ahora estamos muy contentos de ofrecer su orden favorita en nuestros menús de todo el país""......#noticias #noticiasmusicales #industriamusical #music #musica #musicnews #colombia #bogota #mexico #jbalvinfans #jbalvinmcdonalds #mcdonalds #jbalvinglobal #jbalvincolombia #jbalvin #latinogang #reaggeton #bigmac #talentocolombiano #talentolatino #orgulllocolombiano",25,0
16720947653,CF-QgIvnp0N,Another New Video! @mcdonalds came out with the NEW J. Balvin Meal!!⚡️🍔🍟🍦 Check out the Review! #mcdonalds #mcdonald #bigmac #mcdonaldsfries #oreomcflurry #mcd #fries #frenchfries #burger #jbalvinmcdonalds #hamburger #lettuce #cheese #bigmacsauce #collab #collaboration #yum #jbalvin #lego #youtube #couple #colombia #reggaeton #reggaetondance #latindance,62,0
1652495681,CF-Oe8_hUwZ,J balvin colabora con #mcdonalds 🍔 🍟 ¿Quienes esperando el #Jbalvin meal?🙏🏼#ElAvisoMagazine #ElAviso #ElAvisoMagazine2020  #ElAvisoTeAvisa  #ElAvisoEntretenimiento #ElAvisoEspectáculos #mcdonalds #jbalvinmcdonalds #jbalvinmcdonaldsmeal #colores #artista #colombia #colombiano #mcdonalds🍔🍟 #mcmeal #mcdonaldsmemes #mcdonalds🍟,11,0
42623095596,CF-NHM9lgt5,"@jbalvin ha demostrado ser uno de los artistas latinoamericanos más influyentes a nivel mundial y esta vez no se pudo quedar atrás, pues el colombiano anunció una colaboración con @mcdonalds, presentando su nuevo meal con la marca multinacional.El reggaetonero señaló que tendrá su propio combo en McDonald’s, cuyo nombre aparecerá en el menú de la cadena de restaurantes. Esto lo convirtió en el primer artista latino con el que la multinacional ha trabajado.El combo “J Balvin Meal” incluye  una Big Mac, papas fritas medianas y un McFlurry Oreo. La combinación sale a la venta del lunes al 1 de noviembre en Estados Unidos. Los precios serán variados según la región, pero los clientes que pidan la comida en la aplicación de McDonald’s obtendrán el Oreo McFlurry gratis.""Siempre Big Mac, Nunca No Big Mac"" @jbalvin @mcdonalds #jbalvinmcdonalds #jbalvin #mcdonalds #jbalvinxgef #mcdonaldsusa",18,0
473531975,CF-KRSLJrL3,"Après l'engouement pour @travisscott , c'est au tour de @jbalvin de collaborer avec @mcdonalds avec un menu personnalisé 🍟🍔",20,1
9642628824,CF-Hc6BDtVR,Mcdonalds Hacks #jbalvinmeal #jbalvinmcdonalds #mcdonalds #tiktok #creator #mcdonaldsmeal,36,2
39183472294,CF-CKXPgAG6,"@jbalvin X @mcdonalds What y’all think? I personally think it was original and creative when Travis did it. Now it looks like everyone wants their own menu, it’s not that original no more. I don’t understand why McDonald’s didn’t do anything special to the menu as it’s just a regular order. Just a grab of money.",52,4
280216169,CF9_mPKB1vT,Combo JBalvin. @mcdonalds ofrecerá su combo @jbalvin próximamente. Aquí la colaboración del cantante colombiano. #jbalvin #mcdonalds #imlovinit #jbalvinmcdonalds,14,2
7206072070,CF96HsiBhrm,"The J Balvin meal! 🔥 @mcdonalds x @jbalvin ❤️💛Después de que el Travis Scott's meal de McDonald's se convirtiera en un éxito total, McDonald's está creando otra celebrity meal. Esta vez, la cadena de comida rápida se asocia con la superestrella del pop latino J Balvin. 🤩🥳🎤El ""J Balvin Meal"" incluye todos los favoritos juntos del cantante  una Big Mac, papas fritas medianas con ketchup y un McFlurry Oreo. Sale a la venta el lunes 1 de noviembre en Estados Unidos. 🍔🍟🍦¿Creen que tenga el mismo éxito que el Travis Scott meal? 🤨📸  McDonald's#PuroMerca 🧡",1580,32
41559542500,CF95smMMgve,La verdad se ve más rico este combo!! 🍟🍔#jbalvin #mcdonalds #jbalvinmcdonalds,11,0
4714200423,CF9w0-VKY93,"Dopo Travis Scott, McDonald’s ha svelato ufficialmente chi sarà il secondo artista a diventare protagonista del suo progetto di collaborazioni. Si tratta di J Balvin, molto chiacchierato in quest’ultimo periodo per la sua attesa partnership con Jordan Brand.Con quale altro artista vi piacerebbe collaborasse il marchio fast-food?",6257,28
